ID,Region,Country,City,Building Tenure,Primary Use,Area,Area Type,Lease Expiry Date,Break Option Date,Currency,Rental Cost,Lease Until Expiry,Per Square Meter
314,N. Europe,Czech Republic,Prague,Leased,Storage,682,sqm,,,USD,10133,,14.85777126
315,North Asia,Japan,Hiroshima,Leased,Residential,31.49998639,sqm,2022-08-02,,USD,461.9681658,401.216,14.66566239
316,SAMEA,Indonesia,Batam,Leased,Office,220.3194645,sqm,2019-02-28,,USD,3229,-8262.701,14.6559906
317,N. Europe,Finland,Vaasa,Leased,Meeting point,247.5699392,sqm,,,USD,3620,,14.62213067
318,S. Europe,Italy,Viareggio,Leased,Office,1019,sqm,2021-10-01,,USD,14832,487.627,14.55544652
319,N. Europe,Germany,Bremerhaven,Leased,Office,5606,sqm,2023-05-31,,USD,79402,134657.090,14.16375312
320,N. Europe,Norway,Stavanger,Leased,Office,1431,sqm,2019-12-31,,USD,20000,-34410.959,13.97624039
321,North Asia,Japan,Hiroshima,Leased,Residential,28.0099879,sqm,2023-03-21,,USD,390.2356988,585.888,13.93201954
322,N. Europe,Netherlands,Spijkenisse,Leased,Office,1615,sqm,2022-05-31,,USD,21986,15299.847,13.61362229
323,N. Europe,Netherlands,Hoeven,Leased,Office,2153,sqm,2019-10-31,,USD,28939,-54627.318,13.44124477
324,N. Europe,Germany,Augsburg,Leased,Meeting point,570,sqm,,,USD,7632,,13.38947368
325,North Asia,Japan,Saga,Leased,Residential,30.10998699,sqm,2022-11-27,,USD,400.3447144,476.026,13.2960773
326,N. Europe,Sweden,Malmo,Leased,Office,5134,sqm,2021-03-31,,USD,65444,-30839.364,12.74717569
327,N. Europe,Netherlands,Amsterdam,Leased,Office,3724,sqm,2021-09-30,,USD,47230,1423.370,12.68259936
328,N. Europe,Germany,Cologne,Leased,Office,5907,sqm,2026-03-31,2021-03-31,USD,74085,335716.685,12.54189944
329,North Asia,Japan,Ehime,Leased,Residential,30.3199869,sqm,2021-11-30,,USD,376.456972,74.260,12.41613241
330,N. Europe,Belgium,Antwerp,Leased,Office,8891,sqm,2021-08-31,,USD,107754,-5609.112,12.11944663
331,N. Europe,Belgium,Antwerpen,Leased,Office,3346,sqm,2026-08-31,2023-02-28,USD,40000,198027.397,11.95457262
332,North Asia,Japam,Ehime,Leased,Residential,37.79998367,sqm,2022-08-04,,USD,445.3506059,389.224,11.78176715
333,S. Europe,Italy,Milan,Leased,Office,5543,sqm,2022-10-31,,USD,64940,72412.548,11.71567743
334,N. Europe,Poland,Sopot,Leased,Office,2367,sqm,2022-12-31,,USD,27234,34919.211,11.50570342
335,N. Europe,Sweden,Gothenburg,Leased,Office,7072,sqm,2021-11-30,,USD,80895,15957.370,11.43877262
336,N. Europe,Iceland,Reykjavik,Leased,Office,1549,sqm,2022-06-30,,USD,17212,13392.351,11.11168496
337,S. Europe,Romania,Constanta,Leased,Office,1184,sqm,2019-03-21,,USD,13152,-32898.016,11.10810811
338,S. Europe,Italy,Genoa,Leased,Storage,323,sqm,2021-01-31,,USD,3551,-2247.345,10.99380805
339,N. Europe,Finland,Turku,Leased,Meeting point,1356,sqm,,,USD,14626,,10.78613569
340,North Asia,Japan,Ehime,Leased,Residential,44.95998057,sqm,2022-09-06,,USD,470.8308644,454.062,10.47222126
341,N. Europe,Hungary,Budapest,Leased,Office,845,sqm,,,USD,8784,,10.39526627
342,S. Europe,Bulgaria,Varna,Leased,Office,1830,sqm,2022-07-31,,USD,19000,16397.260,10.38251366
343,S. Europe,Israel,Haifa,Leased,Office,1615,sqm,2021-03-31,,USD,16737,-7887.025,10.36346749
344,S. Europe,France,Nantes,Leased,Office,592,sqm,2021-07-31,,USD,6102,-835.890,10.30743243
345,S. Europe,Italy,Naples,Leased,Office,431,sqm,2024-11-30,,USD,4422,14150.400,10.25986079
346,N. Europe,Germany,Kiel,Leased,Office,1679,sqm,,,USD,17172,,10.22751638
347,UK & I,England,Bracknell,Leased,Office,2237.568755,sqm,2021-03-01,,USD,22808,-12622.510,10.19320633
348,S. Europe,Romania,Galatz,Leased,Office,2024,sqm,2021-12-31,,USD,20520,5790.575,10.13833992
349,S. Europe,Spain,Bilbao,Leased,Office,1614,sqm,2022-09-01,,USD,16271,15468.595,10.08116481
350,N. Europe,Poland,Katowice,Leased,Office,2227,sqm,,,USD,22287,,10.00763359
351,N. Europe,Germany,Netphen,Leased,Meeting point,484,sqm,,,USD,4800,,9.917355372
352,N. Europe,Germany,Bruchsal,Leased,Meeting point,237,sqm,,,USD,2304,,9.721518987
